111,ニトロプラス/ニトロプラス キラル
121,NBCユニバーサル・エンターテイメントジャパン
131,ｉｎゼリー　10秒チャージ隊
132,ボートレース多摩川
141,セガ
151,ブロッコリー
161,dアニメストア（NTTドコモ）
162,阿佐ヶ谷アニメストリート有志の会
163,アース・スター エンターテイメント
211,ユーフォーテーブル
212,モンスター娘のいる日常／徳間書店
213,一二三書房
214,創芸社
215,シャフト
221,講談社
222,フィギュアメーカーGift
223,まんがタイムきららプラス
224,STOP!違法ダウンロードの逆襲
231,ブシロード
232,劇場版「蒼き鋼のアルペジオ－アルス・ノヴァ－Cadenza」
233,カンロ
234,アニたまSHOP/ラジオ関西
235,セカンドショット
236,弱虫ペダル/実は私は/秋田書店
251,1st PLACE Official Shop -HACHIMAKI-
252,中外鉱業
253,earth music&ecology Japan Label
254,MIKASA
255,RED
256,夢王国と眠れる１００人の王子様
311,小学館
312,印刷会社のポプルス　コミケ支店
313,少年画報社
314,オーバーラップ
315,ぼのSHOP ざわ支店
316,ワーナー
321,YTE
322,Lerche
323,スパイク・チュンソフト
324,SILVER LINK.
325,松竹
326,株式会社　東北新社
327,「それが声優！」
331,unity-chan!
332,インターネットラジオステーション<音泉>&音mart
333,ぽにきゃん
334,Kaikai Kiki
335,サンリオ　SHOW BY ROCK!!
341,アニ☆マルシェ有明出張所：ＦＷ＆マリン＆ムービック
351,グッドスマイルカンパニー
352,Canaria
353,D3Pオトメ部
354,一迅社
355,ノイタミナショップ
411,らしんばん
412,メロンブックス
421,Tokyo 7th シスターズ
422,消滅都市／Wright Flyer Studios
423,ハッカドール×モバゲー
424,アニメユニバーシティコープ
431,TOYPLA
441,二次元コスパ
442,アクシア
451,NANOHA × DOG DAYS
511,GIGA STATION
512,とらのあな／ツクルノモリ
513,Russell
514,Lump of Sugar
521,フロントウイング
522,あかべぇそふとつぅと愉快な仲間たち
523,KAI/でぼの巣製作所・Studio e.go!
524,PoRO/魔人/Grand Cru
525,LiLiTH
526,エウシュリー
531,onomatope*＆egトップス
532,Princess Sugar
533,Views/CranCrown
534,ネクストン＠BaseSon
535,カーニバル
536,Clochette＆まどそふと
537,NanaWind
541,GooGooDept.
542,バンダイファッションネット
543,超銀河船団/にじよめ/DLsite.com
544,GEE!STORE
551,オーガスト/ARIA
552,ぱれっと
553,CUFFS・Sphere・CUBE・MintCUBE/HULOTTE
561,KADOKAWA
611,山佐株式会社
612,まじかるすいーとプリズム・ナナ
613,NET SLOT LIVE!! ～第6回全日本パチスロ選手権大会～
621,THEキャラ
622,5pb.
623,アクアマリン
624,エムズファクトリー
625,(株)ティー・ゾーン
626,ゲファルサ
627,アールエスケイ　×　たけやま商店
631,かぴばらしょっぷ
632,〔痛傘〕シーズナルプランツ
633,AKIBA-HOBBY/(株)イザナギ
634,HOBBY STOCK
635,pixiv
636,NOVELiDOL/Discover21
637,ステッドラー日本
638,カミカゼスタイル
641,日本ファルコム
642,工画堂スタジオ
643,アージュ
644,アークシステムワークス
645,サイバーコネクトツー
646,ATLUS
911,株式会社シーエージェント
912,リサイクルテック・ジャパン(株)
913,ゴマブックス株式会社
914,楽天アプリ市場 ＠コミックマーケット８８
915,ルミネエスト特別企画テッド来場キャンペーンブース
921,ふわふわ時間（タイム）
922,ウォーターオリオン商店～コミケスペシャル
923,ki-no
924,アニメスタイル
931,ノワ
932,すのこタン。
933,アトリエ・マギ
934,G.L.Works＆同人ショップにゃんごろべりー
935,匠枕
